date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,price,discount,weather_condition,promotion,competitor_pricing,seasonality,epidemic,demand,month,day_name,year,day,day_of_week,week_of_year,quarter,is_weekend,month_sin,month_cos,dow_sin,dow_cos,is_holiday,demand_lag_1,demand_lag_2,demand_lag_7,demand_lag_14,demand_lag_30,demand_change_1,demand_change_7,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_std_30,expanding_mean,price_diff,discounted_price,inventory_sales_ratio,catboost_prediction,lightgbm_prediction,ensemble_prediction,residual,lof_anomaly,z_score,zscore_anomaly,final_anomaly
2023-09-07,3,5,3,3,461,123,0,39.09,10,1,1,38.29,0,0,137,9,4,2023,7,3,36,3,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,58.0,137.0,144.0,107.0,163.0,-79.0,37.0,119.42857142857143,120.21428571428571,145.76666666666668,40.132518580560756,60.15307102736304,123.87947882736157,0.8000000000000043,35.181000000000004,3.717741935483871,137.34154365944158,136.9390344579149,137.14047016133742,-0.14047016133741863,0,0.002499169639259521,0,0
2023-09-07,3,6,3,3,464,82,0,28.07,15,1,1,24.24,0,0,126,9,4,2023,7,3,36,3,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,124.0,74.0,165.0,104.0,182.0,50.0,61.0,114.28571428571429,123.07142857142857,137.5,31.86803145114908,56.41945739205392,121.25732899022802,3.830000000000002,23.8595,5.590361445783133,108.23023436034774,104.88152722589399,106.55738749101658,19.442612508983416,0,1.3467517672890885,0,0
2023-09-07,3,7,2,3,118,85,68,81.79,20,1,1,89.05,0,0,85,9,4,2023,7,3,36,3,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,74.0,131.0,83.0,120.0,110.0,-57.0,-37.0,92.14285714285714,88.64285714285714,90.63333333333334,37.284619578894095,34.187599418838836,76.39087947882736,-7.259999999999991,65.432,1.372093023255814,94.21828889959477,94.08692358937854,94.15266535023359,-9.15266535023359,0,0.6161300317561554,0,0
2023-09-07,3,12,3,3,363,59,235,18.08,10,1,0,19.43,0,0,91,9,4,2023,7,3,36,3,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,92.0,105.0,193.0,176.0,182.0,-13.0,17.0,126.14285714285714,124.92857142857143,143.46666666666667,47.639019621274706,59.09940972535229,124.6042345276873,-1.3500000000000014,16.272,6.05,69.08269429398706,70.1899924801291,69.63584517572457,21.36415482427543,0,1.4786532810757858,0,0
2023-09-07,3,9,3,3,868,169,0,28.47,10,1,1,27.51,0,0,146,9,4,2023,7,3,36,3,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,86.0,172.0,94.0,69.0,174.0,-86.0,25.0,116.57142857142857,129.0,142.46666666666667,43.034316317938334,51.27124174315529,121.6172638436482,0.9599999999999973,25.623,5.105882352941176,167.7271068423783,168.27545242633147,168.0010329149183,-22.001032914918312,0,1.4980877789173324,0,0
2023-09-07,3,10,0,3,355,86,0,44.61,20,1,1,50.2,0,0,76,9,4,2023,7,3,36,3,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,96.0,197.0,44.0,107.0,135.0,-101.0,-63.0,110.57142857142857,102.71428571428571,113.36666666666666,50.245587344751435,35.45223433777102,110.1172638436482,-5.590000000000003,35.688,4.080459770114943,100.57583483336474,95.16872466185688,97.87471259144883,-21.874712591448827,0,1.4894167016503619,0,0
2023-09-07,3,11,1,3,118,85,77,100.47,10,1,0,107.19,0,0,86,9,4,2023,7,3,36,3,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,119.0,121.0,97.0,117.0,179.0,-2.0,-20.0,109.0,108.0,107.73333333333333,23.144473782453403,29.729740517945405,95.13355048859935,-6.719999999999999,90.423,1.372093023255814,91.9201056853207,90.25092427645208,91.08626600270327,-5.086266002703269,0,0.3369978860146879,0,0
2023-09-07,3,4,0,3,186,71,0,72.99,5,1,0,87.91,0,0,111,9,4,2023,7,3,36,3,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,105.0,105.0,78.0,53.0,36.0,0.0,25.0,96.57142857142857,97.0,99.7,15.640302030940797,26.210224380362742,109.64983713355049,-14.920000000000002,69.34049999999999,2.5833333333333335,88.84201151228271,87.1548685525138,87.99919913573135,23.000800864268655,0,1.5909984990239543,0,0
2023-09-07,3,8,0,3,324,73,268,115.19,0,1,0,129.34,0,0,95,9,4,2023,7,3,36,3,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,108.0,117.0,96.0,120.0,163.0,-9.0,-24.0,93.0,96.64285714285714,100.46666666666667,20.976176963403407,35.54669908855062,108.30618892508143,-14.150000000000006,115.19,4.378378378378378,86.15770616507184,89.80933350241935,87.98187684168798,7.018123158312022,0,0.493890531635681,0,0
2023-09-07,3,3,3,3,812,98,0,48.16,15,1,1,56.58,0,0,114,9,4,2023,7,3,36,3,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,81.0,169.0,120.0,120.0,227.0,-88.0,0.0,137.0,139.28571428571428,158.66666666666666,44.41471227720226,52.48535646900164,123.92833876221498,-8.420000000000002,40.93599999999999,8.202020202020202,123.07115571942471,113.49173155502928,118.28575374786112,-4.285753747861122,0,0.28204787144660626,0,0
2023-09-07,2,12,3,0,655,58,0,64.45,0,1,0,75.64,0,0,63,9,4,2023,7,3,36,3,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,120.0,130.0,172.0,208.0,131.0,-10.0,-36.0,141.0,138.42857142857142,161.96666666666667,27.73685875028622,48.28898877364909,123.90390879478828,-11.189999999999998,64.45,11.101694915254237,71.77209695712938,73.22775415360822,72.49927060539952,-9.499270605399516,0,0.639922251932094,0,0
2023-09-07,3,1,3,3,219,105,240,19.51,10,1,0,17.59,0,0,102,9,4,2023,7,3,36,3,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,90.0,172.0,100.0,124.0,142.0,-82.0,-24.0,121.28571428571429,153.5,159.93333333333334,32.45876505000494,65.40796816023675,126.24592833876221,1.9200000000000017,17.559,2.0660377358490565,110.6095134023472,118.3946248392935,114.49856633286396,-12.498566332863959,0,0.8458046015416641,0,0
2023-09-07,3,0,3,3,497,74,0,10.02,10,1,0,9.31,0,0,84,9,4,2023,7,3,36,3,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,125.0,186.0,128.0,165.0,230.0,-61.0,-37.0,140.57142857142858,148.07142857142858,146.76666666666668,29.52883981724267,51.536852119980914,124.54071661237785,0.7099999999999991,9.018,6.626666666666667,86.09677577695632,87.93447803239692,87.01480005956593,-3.0148000595659283,0,0.19480508001557487,0,0
